"outcome","g","t","e","att","n_treated","n_control"
"ln_mtb","2015","2015","0","0.2781742178","8","1453"
"ln_mtb","2015","2016","1","0.107123896","8","1442"
"ln_mtb","2015","2017","2","0.0945231289","8","1430"
"ln_mtb","2015","2018","3","0.07070132642","8","1418"
"ln_mtb","2015","2019","4","-0.06881412068","8","1407"
"ln_mtb","2016","2014","-2","-0.3498136203","7","1455"
"ln_mtb","2016","2016","0","0.02622704125","8","1527"
"ln_mtb","2016","2017","1","0.07177742903","8","1496"
"ln_mtb","2016","2018","2","0.03922751448","8","1483"
"ln_mtb","2016","2019","3","-0.03702789443","8","1476"
"ln_mtb","2016","2020","4","0.05328682604","8","1467"
"ln_mtb","2017","2014","-3","-0.281314145","6","1444"
"ln_mtb","2017","2015","-2","0.04815200613","6","1524"
"ln_mtb","2017","2017","0","0.05205684446","6","1561"
"ln_mtb","2017","2018","1","0.1468973478","5","1539"
"ln_mtb","2017","2019","2","0.01940032093","5","1531"
"ln_mtb","2017","2020","3","-0.04746829276","6","1522"
"ln_mtb","2017","2021","4","-0.2550426344","5","1504"
"ln_mtb","2018","2014","-4","-0.961253503","7","1431"
"ln_mtb","2018","2015","-3","-0.7061667277","7","1496"
"ln_mtb","2018","2016","-2","-0.7492098094","7","1564"
"ln_mtb","2018","2018","0","0.4440329957","7","1652"
"ln_mtb","2018","2019","1","0.2838839476","7","1626"
"ln_mtb","2018","2020","2","0.4983043542","7","1614"
"ln_mtb","2018","2021","3","0.2133757325","7","1599"
"ln_mtb","2018","2022","4","0.03426173846","7","1604"
"ln_mtb","2019","2014","-5","-0.5030929108","22","1420"
"ln_mtb","2019","2015","-4","-0.3963719409","25","1483"
"ln_mtb","2019","2016","-3","-0.2669735543","27","1542"
"ln_mtb","2019","2017","-2","-0.03342731828","28","1652"
"ln_mtb","2019","2019","0","0.08950552077","29","1715"
"ln_mtb","2019","2020","1","0.1342731116","29","1696"
"ln_mtb","2019","2021","2","-0.06291659306","29","1672"
"ln_mtb","2019","2022","3","0.02669536226","29","1675"
"ln_mtb","2019","2023","4","0.02651324294","29","1655"
"ln_mtb","2020","2015","-5","-0.239709391","68","1476"
"ln_mtb","2020","2016","-4","-0.1915942544","71","1534"
"ln_mtb","2020","2017","-3","-0.09746404499","76","1626"
"ln_mtb","2020","2018","-2","-0.06064618922","80","1715"
"ln_mtb","2020","2020","0","0.05110328964","84","1811"
"ln_mtb","2020","2021","1","-0.05750302351","80","1764"
"ln_mtb","2020","2022","2","-0.03772622109","83","1759"
"ln_mtb","2020","2023","3","-0.07120285043","84","1733"
"ln_mtb","2020","2024","4","-0.1245764265","84","1732"
"ln_mtb","2021","2016","-5","-0.1623020518","119","1525"
"ln_mtb","2021","2017","-4","-0.07545130076","125","1613"
"ln_mtb","2021","2018","-3","-0.02912317139","123","1695"
"ln_mtb","2021","2019","-2","0.02517739972","129","1810"
"ln_mtb","2021","2021","0","-0.01627198879","127","1846"
"ln_mtb","2021","2022","1","-0.04376054392","126","1829"
"ln_mtb","2021","2023","2","-0.04153968779","125","1799"
"ln_mtb","2021","2024","3","-0.063220633","128","1796"
"ln_mtb","2022","2017","-5","0.02897226612","197","1599"
"ln_mtb","2022","2018","-4","-0.005306788579","198","1672"
"ln_mtb","2022","2019","-3","0.009244109764","206","1764"
"ln_mtb","2022","2020","-2","0.00581390827","212","1847"
"ln_mtb","2022","2022","0","0.03396109437","216","1941"
"ln_mtb","2022","2023","1","0.05020752614","213","1899"
"ln_mtb","2022","2024","2","0.06317514631","218","1895"
"ln_mtb","2023","2018","-5","-0.04084628883","75","1675"
"ln_mtb","2023","2019","-4","-0.004883362043","78","1758"
"ln_mtb","2023","2020","-3","0.06368777739","87","1830"
"ln_mtb","2023","2021","-2","-0.07584096291","93","1941"
"ln_mtb","2023","2023","0","-0.05815733236","101","2065"
"ln_mtb","2023","2024","1","-0.1147983366","102","2034"
"ln_mtb","2024","2019","-5","-0.1955808644","16","1732"
"ln_mtb","2024","2020","-4","-0.08932871619","17","1800"
"ln_mtb","2024","2021","-3","-0.1494747092","17","1899"
"ln_mtb","2024","2022","-2","-0.07515874766","19","2065"
"ln_mtb","2024","2024","0","-0.06112412069","29","2189"
"ln_mcap","2015","2015","0","0.3502628906","8","1556"
"ln_mcap","2015","2016","1","0.1730440597","8","1556"
"ln_mcap","2015","2017","2","0.2074239244","8","1556"
"ln_mcap","2015","2018","3","0.2424325378","8","1556"
"ln_mcap","2015","2019","4","0.1956661112","8","1556"
"ln_mcap","2016","2014","-2","-0.5497753754","8","1575"
"ln_mcap","2016","2016","0","0.06526041779","8","1629"
"ln_mcap","2016","2017","1","0.1322501794","8","1629"
"ln_mcap","2016","2018","2","0.2669852047","8","1629"
"ln_mcap","2016","2019","3","0.2545604566","8","1629"
"ln_mcap","2016","2020","4","0.1506677498","8","1629"
"ln_mcap","2017","2014","-3","-0.6653201456","6","1572"
"ln_mcap","2017","2015","-2","-0.343423267","6","1631"
"ln_mcap","2017","2017","0","-0.02881305699","6","1677"
"ln_mcap","2017","2018","1","0.1494977387","6","1677"
"ln_mcap","2017","2019","2","0.111799058","6","1677"
"ln_mcap","2017","2020","3","0.1518681804","6","1677"
"ln_mcap","2017","2021","4","-0.06350147795","6","1677"
"ln_mcap","2018","2014","-4","-0.9977641824","7","1578"
"ln_mcap","2018","2015","-3","-0.7319918527","7","1639"
"ln_mcap","2018","2016","-2","-0.7640093571","7","1689"
"ln_mcap","2018","2018","0","0.4693800044","8","1773"
"ln_mcap","2018","2019","1","0.3601798072","8","1773"
"ln_mcap","2018","2020","2","0.3379275078","8","1773"
"ln_mcap","2018","2021","3","0.2024668816","8","1773"
"ln_mcap","2018","2022","4","0.2417889137","8","1773"
"ln_mcap","2019","2014","-5","-0.6509533317","24","1580"
"ln_mcap","2019","2015","-4","-0.5738590007","26","1640"
"ln_mcap","2019","2016","-3","-0.3614279271","29","1691"
"ln_mcap","2019","2017","-2","-0.07715846868","29","1780"
"ln_mcap","2019","2019","0","0.1140848567","29","1862"
"ln_mcap","2019","2020","1","0.2205741138","29","1862"
"ln_mcap","2019","2021","2","0.07132831894","29","1862"
"ln_mcap","2019","2022","3","0.1757582919","29","1862"
"ln_mcap","2019","2023","4","0.2477325445","29","1862"
"ln_mcap","2020","2015","-5","-0.4282796376","70","1633"
"ln_mcap","2020","2016","-4","-0.3747668547","73","1684"
"ln_mcap","2020","2017","-3","-0.2062564468","79","1774"
"ln_mcap","2020","2018","-2","-0.1264210777","81","1857"
"ln_mcap","2020","2020","0","0.02126163452","85","1961"
"ln_mcap","2020","2021","1","-0.02916376299","85","1961"
