"key","value"
"asset_att","0.044"
"asset_att_pct","4.4"
"asset_att_pp","4.4"
"asset_diff","−0.011"
"asset_diff_mde","0.070"
"asset_diff_p","0.654"
"asset_diff_p_txt","= 0.654"
"asset_diff_se","0.025"
"asset_e0","0.036"
"asset_e0_hi","0.061"
"asset_e0_lo","0.014"
"asset_e0_p","0.002"
"asset_e0_p_txt","= 0.002"
"asset_e0_pct","3.7"
"asset_e0_pp","3.6"
"asset_e0_se","0.012"
"asset_e1","0.033"
"asset_e1_hi","0.068"
"asset_e1_lo","−0.002"
"asset_e1_p","0.071"
"asset_e1_p_txt","= 0.071"
"asset_e1_pct","3.3"
"asset_e1_pp","3.3"
"asset_e1_se","0.018"
"asset_e2","0.039"
"asset_e2_hi","0.090"
"asset_e2_lo","−0.010"
"asset_e2_p","0.119"
"asset_e2_p_txt","= 0.119"
"asset_e2_pct","4.0"
"asset_e2_pp","3.9"
"asset_e2_se","0.025"
"asset_e3","0.090"
"asset_e3_hi","0.165"
"asset_e3_lo","0.013"
"asset_e3_p","0.016"
"asset_e3_p_txt","= 0.016"
"asset_e3_pct","9.5"
"asset_e3_pp","9.0"
"asset_e3_se","0.037"
"asset_e4","0.112"
"asset_e4_hi","0.219"
"asset_e4_lo","−0.008"
"asset_e4_p","0.054"
"asset_e4_p_txt","= 0.054"
"asset_e4_pct","11.9"
"asset_e4_pp","11.2"
"asset_e4_se","0.058"
"asset_em2","−0.007"
"asset_em2_hi","0.016"
"asset_em2_lo","−0.029"
"asset_em2_p","0.535"
"asset_em2_p_txt","= 0.535"
"asset_em2_pct","−0.7"
"asset_em2_pp","−0.7"
"asset_em2_se","0.012"
"asset_em3","−0.014"
"asset_em3_hi","0.024"
"asset_em3_lo","−0.051"
"asset_em3_p","0.480"
"asset_em3_p_txt","= 0.480"
"asset_em3_pct","−1.4"
"asset_em3_pp","−1.4"
"asset_em3_se","0.019"
"asset_em4","−0.049"
"asset_em4_hi","0.002"
"asset_em4_lo","−0.096"
"asset_em4_p","0.054"
"asset_em4_p_txt","= 0.054"
"asset_em4_pct","−4.8"
"asset_em4_pp","−4.9"
"asset_em4_se","0.025"
"asset_em5","−0.066"
"asset_em5_hi","−0.003"
"asset_em5_lo","−0.128"
"asset_em5_p","0.041"
"asset_em5_p_txt","= 0.041"
"asset_em5_pct","−6.4"
"asset_em5_pp","−6.6"
"asset_em5_se","0.032"
"asset_hi","0.081"
"asset_hi_pct","8.5"
"asset_high","0.038"
"asset_high_mde","0.062"
"asset_high_n","328"
"asset_high_p","0.085"
"asset_high_p_txt","= 0.085"
"asset_high_se","0.022"
"asset_lo","0.007"
"asset_lo_pct","0.7"
"asset_lomo_ID","0.037"
"asset_lomo_ID_p","0.057"
"asset_lomo_ID_p_txt","= 0.057"
"asset_lomo_MY","0.046"
"asset_lomo_MY_p","0.114"
"asset_lomo_MY_p_txt","= 0.114"
"asset_lomo_PH","0.031"
"asset_lomo_PH_p","0.095"
"asset_lomo_PH_p_txt","= 0.095"
"asset_lomo_SG","0.063"
"asset_lomo_SG_p","<0.001"
"asset_lomo_SG_p_txt","< 0.001"
"asset_lomo_TH","0.040"
"asset_lomo_TH_p","0.054"
"asset_lomo_TH_p_txt","= 0.054"
"asset_low","0.049"
"asset_low_mde","0.063"
"asset_low_n","327"
"asset_low_p","0.028"
"asset_low_p_txt","= 0.028"
"asset_low_se","0.022"
"asset_mde","0.051"
"asset_mde_pct","5.3"
"asset_mde_pp","5.1"
"asset_nco","2,603"
"asset_ntr","655"
"asset_p","0.018"
"asset_p_txt","= 0.018"
"asset_pholm","0.053"
"asset_pholm_txt","= 0.053"
"asset_pre_p","0.083"
"asset_pre_p_txt","= 0.083"
"asset_pre_wald","8.24"
"asset_R1","0.040"
"asset_R1_hi","0.076"
"asset_R1_lo","0.006"
"asset_R1_p","0.021"
"asset_R1_p_txt","= 0.021"
"asset_R1_pct","4.1"
"asset_R1_se","0.017"
"asset_R2","0.011"
"asset_R2_hi","0.041"
"asset_R2_lo","−0.017"
"asset_R2_p","0.438"
"asset_R2_p_txt","= 0.438"
"asset_R2_pct","1.1"
"asset_R2_se","0.015"
