"section","words","ngrams8","shared8","pct8","ngrams5","shared5","pct5"
"Title",17,10,0,0,13,0,0
"Abstract",106,99,0,0,102,0,0
"Introduction",1163,1156,0,0,1159,4,0.345125107851596
"Related Literature and Hypotheses",678,671,0,0,674,0,0
"Institutional Setting and Data",1007,1000,0,0,1003,2,0.199401794616152
"Empirical Design",1649,1642,0,0,1645,0,0
"Results",2032,2025,0,0,2028,0,0
"Discussion",877,870,0,0,873,1,0.11454753722795
"Limitations",297,290,0,0,293,0,0
"Conclusion",103,96,0,0,99,0,0
"Exhibit captions and notes",417,410,0,0,413,0,0
"WHOLE MANUSCRIPT",8346,8339,0,0,NA,NA,NA
