"outcome","market","term","est","se","ci_lo","ci_hi","p","mde80","n_treated_firms","n_control_firms"
"ln_mtb","ID","post","0.05377909654","0.1277803919","-0.2084373208","0.2849157492","0.6738490813","0.3577850973","39","678"
"ln_mtb","MY","post","0.008835355035","0.03329268138","-0.05731613385","0.07283757353","0.7907134273","0.09321950786","372","486"
"ln_mtb","PH","post","-0.005764128278","0.1088781813","-0.213723196","0.2036842092","0.9577788549","0.3048589078","14","179"
"ln_mtb","SG","post","-0.03718517676","0.07327376619","-0.1750433397","0.1181499991","0.6118160949","0.2051665453","46","452"
"ln_mtb","TH","post","0.02652579434","0.04712351155","-0.06430631366","0.1221086106","0.5735034183","0.1319458323","157","599"
"ln_mcap","ID","post","-0.01797682596","0.1091552045","-0.241327895","0.1780449223","0.8691875894","0.3056345727","40","690"
"ln_mcap","MY","post","-0.1141460006","0.04844529324","-0.2126834892","-0.01603511185","0.01846379433","0.1356468211","375","499"
"ln_mcap","PH","post","0.1014625598","0.1279971677","-0.1414056741","0.3635862734","0.4279562502","0.3583920695","14","183"
"ln_mcap","SG","post","0.1428643221","0.08681192356","-0.01825209714","0.3328317706","0.09983042818","0.243073386","47","455"
"ln_mcap","TH","post","0.05905832708","0.05877466547","-0.05723776395","0.1707936288","0.3149805184","0.1645690633","159","603"
"leverage","ID","post","0.02331467083","0.01767257313","-0.01161073565","0.05993070736","0.187083113","0.04948320475","41","720"
"leverage","MY","post","0.00189587412","0.006492530572","-0.01096445928","0.01411961174","0.7702801243","0.0181790856","366","556"
"leverage","PH","post","0.04083990886","0.02777766194","-0.0129143466","0.09712250392","0.1414959931","0.07777745342","14","165"
"leverage","SG","post","0.04766497627","0.01969636019","0.009675023673","0.0866720039","0.01552097386","0.05514980853","48","459"
"leverage","TH","post","0.02459704247","0.01308670105","-0.0007570244477","0.05081206062","0.06017012609","0.03664276294","162","614"
"ln_asset","ID","post","0.1227898476","0.07005526485","-0.0172283954","0.2596562712","0.07964374733","0.1961547416","42","738"
"ln_asset","MY","post","0.03283505461","0.02418292427","-0.01482454472","0.07977274372","0.1745339794","0.06771218796","386","565"
"ln_asset","PH","post","0.02531946274","0.07889734448","-0.1449461236","0.1771141462","0.7482736399","0.2209125645","14","195"
"ln_asset","SG","post","0.01296527983","0.08411112392","-0.1490276787","0.1719015777","0.8774956827","0.235511147","48","463"
"ln_asset","TH","post","0.01669354639","0.04000064711","-0.06683836567","0.08564555755","0.6764356525","0.1120018119","165","639"
