"Outcome","M̄","Largest pre-period change","Bias bound","Robust 95% interval"
"ln(MTB)","0.00","0.046","0.000","[−0.046, 0.048]"
"ln(MTB)","0.25","0.046","0.025","[−0.071, 0.073]"
"ln(MTB)","0.50","0.046","0.050","[−0.096, 0.098]"
"ln(MTB)","1.00","0.046","0.101","[−0.147, 0.148]"
"ln(market capitalization)","0.00","0.063","0.000","[−0.109, 0.003]"
"ln(market capitalization)","0.25","0.063","0.035","[−0.144, 0.038]"
"ln(market capitalization)","0.50","0.063","0.070","[−0.179, 0.073]"
"ln(market capitalization)","1.00","0.063","0.140","[−0.249, 0.143]"
"Book leverage","0.00","0.012","0.000","[−0.001, 0.018]"
"Book leverage","0.25","0.012","0.007","[−0.007, 0.025]"
"Book leverage","0.50","0.012","0.013","[−0.014, 0.031]"
"Book leverage","1.00","0.012","0.026","[−0.027, 0.044]"
"ln(total assets)","0.00","0.035","0.000","[0.007, 0.081]"
"ln(total assets)","0.25","0.035","0.020","[−0.012, 0.101]"
"ln(total assets)","0.50","0.035","0.039","[−0.032, 0.120]"
"ln(total assets)","1.00","0.035","0.078","[−0.071, 0.159]"
